TIME;TIME;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;
GEO (Labels);IND_TYPE (Labels);;;;;;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);All Individuals;20;;25;;24;;28;;28;;30;;37;;41;;52;;63;e
European Union - 27 countries (from 2020);Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 27 countries (from 2020);Individuals, 16 to 24 years old;35;;43;;43;;48;;47;;51;;60;;64;;76;;84;e
European Union - 27 countries (from 2020);Individuals, 25 to 34 years old;30;;37;;35;;41;;39;;41;;50;;55;;67;;79;e
European Union - 27 countries (from 2020);Individuals, 35 to 44 years old;21;;27;;26;;31;;30;;33;;41;;46;;59;;71;e
European Union - 27 countries (from 2020);Individuals, 45 to 54 years old;15;;20;;19;;23;;23;;25;;33;;37;;49;;62;e
European Union - 27 countries (from 2020);Individuals, 55 to 64 years old;12;;14;;15;;18;;18;;20;;25;;29;;38;;50;e
European Union - 27 countries (from 2020);Individuals, 65 to 74 years old;6;;8;;9;;11;;11;;13;;16;;18;;24;;33;e
European Union - 27 countries (from 2020);Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 27 countries (from 2020);Individuals with no or low formal education;13;;16;;16;;19;;18;;21;;26;;30;;42;;52;e
European Union - 27 countries (from 2020);Individuals with medium formal education;20;;25;;23;;27;;27;;29;;37;;41;;51;;60;e
European Union - 27 countries (from 2020);Individuals with high formal education;31;;38;;37;;43;;41;;43;;49;;52;;64;;76;e
European Union - 28 countries (2013-2020);All Individuals;20;;26;;25;;29;;29;;32;;39;;42;;52;;:;
European Union - 28 countries (2013-2020);Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 28 countries (2013-2020);Individuals, 16 to 24 years old;35;;43;;43;;47;;46;;52;;61;;64;;76;;:;
European Union - 28 countries (2013-2020);Individuals, 25 to 34 years old;30;;38;;35;;41;;41;;43;;52;;56;;68;;:;
European Union - 28 countries (2013-2020);Individuals, 35 to 44 years old;21;;28;;26;;32;;32;;35;;43;;47;;60;;:;
European Union - 28 countries (2013-2020);Individuals, 45 to 54 years old;15;;21;;20;;23;;25;;28;;34;;37;;49;;:;
European Union - 28 countries (2013-2020);Individuals, 55 to 64 years old;12;;15;;15;;18;;19;;22;;26;;29;;37;;:;
European Union - 28 countries (2013-2020);Individuals, 65 to 74 years old;6;;9;;9;;11;;12;;14;;17;;19;;25;;:;
European Union - 28 countries (2013-2020);Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 28 countries (2013-2020);Individuals with no or low formal education;13;;16;;16;;19;;18;;21;;26;;30;;41;;:;
European Union - 28 countries (2013-2020);Individuals with medium formal education;20;;26;;23;;27;;28;;31;;38;;41;;51;;:;
European Union - 28 countries (2013-2020);Individuals with high formal education;31;;39;;37;;43;;43;;46;;51;;54;;64;;:;
European Union - 27 countries (2007-2013);All Individuals;20;;26;;25;;29;;29;;32;;39;;42;;:;;:;
European Union - 27 countries (2007-2013);Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 27 countries (2007-2013);Individuals, 16 to 24 years old;35;;43;;43;;47;;46;;52;;61;;64;;:;;:;
European Union - 27 countries (2007-2013);Individuals, 25 to 34 years old;30;;38;;35;;41;;41;;43;;52;;56;;:;;:;
European Union - 27 countries (2007-2013);Individuals, 35 to 44 years old;21;;28;;26;;32;;32;;35;;43;;47;;:;;:;
European Union - 27 countries (2007-2013);Individuals, 45 to 54 years old;15;;21;;20;;23;;25;;28;;34;;37;;:;;:;
European Union - 27 countries (2007-2013);Individuals, 55 to 64 years old;12;;15;;15;;18;;19;;22;;26;;29;;:;;:;
European Union - 27 countries (2007-2013);Individuals, 65 to 74 years old;6;;9;;9;;11;;13;;14;;17;;19;;:;;:;
European Union - 27 countries (2007-2013);Individuals, 75 years old or more;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 27 countries (2007-2013);Individuals with no or low formal education;13;;16;;16;;19;;18;;21;;26;;30;;:;;:;
European Union - 27 countries (2007-2013);Individuals with medium formal education;20;;26;;23;;27;;28;;31;;38;;41;;:;;:;
European Union - 27 countries (2007-2013);Individuals with high formal education;31;;39;;37;;43;;43;;46;;51;;54;;:;;:;
European Union - 25 countries (2004-2006);All Individuals;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 25 countries (2004-2006);Individuals, 15 years old or less;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 25 countries (2004-2006);Individuals, 16 to 24 years old;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 25 countries (2004-2006);Individuals, 25 to 34 years old;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 25 countries (2004-2006);Individuals, 35 to 44 years old;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
European Union - 25 countries (2004-2006);Individuals, 45 to 54 years old;:;;:;;:;;:;;:;;:;;:;;:;;:;;:;
