TIME;TIME;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
GEO (Labels);INDIC_IS (Labels);;;;;;;;;;
European Union - 27 countries (from 2020);Internet use: looking for information about education, training or course offers;28;:;30;:;31;:;:;:;:;:
European Union - 27 countries (from 2020);Internet use: sending/receiving e-mails;:;64;65;67;67;69;70;71;73;75
European Union - 27 countries (from 2020);Internet use: telephoning or video calls;20;25;24;28;28;30;37;41;52;63
European Union - 27 countries (from 2020);Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);36;:;41;44;48;49;52;54;54;57
European Union - 27 countries (from 2020);Internet use: finding information about goods and services;55;60;58;62;60;63;64;68;66;70
European Union - 27 countries (from 2020);Internet use: consulting wikis (to obtain knowledge on any subject);38;:;44;:;44;:;:;:;:;:
European Union - 27 countries (from 2020);Internet use: reading online news sites/newspapers/news magazines;:;:;47;51;53;56;60;:;62;66
European Union - 27 countries (from 2020);Internet use: playing/downloading games, images, films or music;:;34;:;39;:;:;:;:;:;:
European Union - 27 countries (from 2020);Internet use: listening to web radios and/or watching web TV;:;32;:;:;:;:;:;:;:;:
European Union - 27 countries (from 2020);Internet use: seeking health information;38;:;44;:;45;47;50;51;53;56
European Union - 27 countries (from 2020);Internet use: playing/downloading games, listening to music or watching videos (excluding VOD);:;:;:;:;:;62;:;67;:;71
European Union - 28 countries (2013-2020);Internet use: looking for information about education, training or course offers;29;:;31;:;32;:;:;:;:;:
European Union - 28 countries (2013-2020);Internet use: sending/receiving e-mails;:;65;67;68;69;71;72;73;75;:
European Union - 28 countries (2013-2020);Internet use: telephoning or video calls;20;26;25;29;29;32;39;42;52;:
European Union - 28 countries (2013-2020);Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);38;:;43;46;50;52;54;56;57;:
European Union - 28 countries (2013-2020);Internet use: finding information about goods and services;56;61;59;64;61;66;65;70;68;:
European Union - 28 countries (2013-2020);Internet use: consulting wikis (to obtain knowledge on any subject);38;:;44;:;45;:;:;:;:;:
European Union - 28 countries (2013-2020);Internet use: reading online news sites/newspapers/news magazines;:;:;48;52;54;57;61;:;63;:
European Union - 28 countries (2013-2020);Internet use: playing/downloading games, images, films or music;:;35;:;40;:;:;:;:;:;:
European Union - 28 countries (2013-2020);Internet use: listening to web radios and/or watching web TV;:;33;:;:;:;:;:;:;:;:
