"TIME","GEO","INDIC_IS","UNIT","IND_TYPE","Value"
"2011","European Union - 27 countries (from 2020)","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals","65"
"2011","European Union - 27 countries (from 2020)","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","94"
"2011","European Union - 27 countries (from 2020)","Frequency of internet access: daily","Percentage of individuals","All Individuals","54"
"2011","European Union - 27 countries (from 2020)","Frequency of internet access: daily","Percentage of individuals who used internet in the last 3 months","All Individuals","78"
"2011","European Union - 27 countries (from 2020)","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals","All Individuals","11"
"2011","European Union - 27 countries (from 2020)","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","16"
"2011","European Union - 27 countries (from 2020)","Frequency of internet access: at least once a month","Percentage of individuals","All Individuals","3"
"2011","European Union - 27 countries (from 2020)","Frequency of internet access: at least once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","4"
"2011","European Union - 27 countries (from 2020)","Frequency of internet access: less than once a month","Percentage of individuals","All Individuals","1"
"2011","European Union - 27 countries (from 2020)","Frequency of internet access: less than once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","1"
"2011","European Union - 27 countries (from 2020)","Frequency of internet access: less than once a week","Percentage of individuals","All Individuals","4"
"2011","European Union - 27 countries (from 2020)","Frequency of internet access: less than once a week","Percentage of individuals who used internet in the last 3 months","All Individuals","6"
"2011","European Union - 28 countries (2013-2020)","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals","67"
"2011","European Union - 28 countries (2013-2020)","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","94"
"2011","European Union - 28 countries (2013-2020)","Frequency of internet access: daily","Percentage of individuals","All Individuals","56"
"2011","European Union - 28 countries (2013-2020)","Frequency of internet access: daily","Percentage of individuals who used internet in the last 3 months","All Individuals","78"
"2011","European Union - 28 countries (2013-2020)","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals","All Individuals","11"
"2011","European Union - 28 countries (2013-2020)","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","16"
"2011","European Union - 28 countries (2013-2020)","Frequency of internet access: at least once a month","Percentage of individuals","All Individuals","3"
"2011","European Union - 28 countries (2013-2020)","Frequency of internet access: at least once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","4"
"2011","European Union - 28 countries (2013-2020)","Frequency of internet access: less than once a month","Percentage of individuals","All Individuals","1"
"2011","European Union - 28 countries (2013-2020)","Frequency of internet access: less than once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","1"
"2011","European Union - 28 countries (2013-2020)","Frequency of internet access: less than once a week","Percentage of individuals","All Individuals","4"
"2011","European Union - 28 countries (2013-2020)","Frequency of internet access: less than once a week","Percentage of individuals who used internet in the last 3 months","All Individuals","6"
"2011","European Union - 27 countries (2007-2013)","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals","67"
"2011","European Union - 27 countries (2007-2013)","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","94"
"2011","European Union - 27 countries (2007-2013)","Frequency of internet access: daily","Percentage of individuals","All Individuals","56"
"2011","European Union - 27 countries (2007-2013)","Frequency of internet access: daily","Percentage of individuals who used internet in the last 3 months","All Individuals","78"
"2011","European Union - 27 countries (2007-2013)","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals","All Individuals","11"
"2011","European Union - 27 countries (2007-2013)","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","16"
"2011","European Union - 27 countries (2007-2013)","Frequency of internet access: at least once a month","Percentage of individuals","All Individuals","3"
"2011","European Union - 27 countries (2007-2013)","Frequency of internet access: at least once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","4"
"2011","European Union - 27 countries (2007-2013)","Frequency of internet access: less than once a month","Percentage of individuals","All Individuals","1"
"2011","European Union - 27 countries (2007-2013)","Frequency of internet access: less than once a month","Percentage of individuals who used internet in the last 3 months","All Individuals","1"
"2011","European Union - 27 countries (2007-2013)","Frequency of internet access: less than once a week","Percentage of individuals","All Individuals","4"
"2011","European Union - 27 countries (2007-2013)","Frequency of internet access: less than once a week","Percentage of individuals who used internet in the last 3 months","All Individuals","6"
"2011","European Union - 25 countries (2004-2006)","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals",":"
"2011","European Union - 25 countries (2004-2006)","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals",":"
"2011","European Union - 25 countries (2004-2006)","Frequency of internet access: daily","Percentage of individuals","All Individuals",":"
"2011","European Union - 25 countries (2004-2006)","Frequency of internet access: daily","Percentage of individuals who used internet in the last 3 months","All Individuals",":"
"2011","European Union - 25 countries (2004-2006)","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals","All Individuals",":"
"2011","European Union - 25 countries (2004-2006)","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals who used internet in the last 3 months","All Individuals",":"
"2011","European Union - 25 countries (2004-2006)","Frequency of internet access: at least once a month","Percentage of individuals","All Individuals",":"
"2011","European Union - 25 countries (2004-2006)","Frequency of internet access: at least once a month","Percentage of individuals who used internet in the last 3 months","All Individuals",":"
"2011","European Union - 25 countries (2004-2006)","Frequency of internet access: less than once a month","Percentage of individuals","All Individuals",":"
"2011","European Union - 25 countries (2004-2006)","Frequency of internet access: less than once a month","Percentage of individuals who used internet in the last 3 months","All Individuals",":"
"2011","European Union - 25 countries (2004-2006)","Frequency of internet access: less than once a week","Percentage of individuals","All Individuals",":"
"2011","European Union - 25 countries (2004-2006)","Frequency of internet access: less than once a week","Percentage of individuals who used internet in the last 3 months","All Individuals",":"
"2011","European Union - 15 countries (1995-2004)","Frequency of internet access: once a week (including every day)","Percentage of individuals","All Individuals","71"
"2011","European Union - 15 countries (1995-2004)","Frequency of internet access: once a week (including every day)","Percentage of individuals who used internet in the last 3 months","All Individuals","94"
"2011","European Union - 15 countries (1995-2004)","Frequency of internet access: daily","Percentage of individuals","All Individuals","60"
"2011","European Union - 15 countries (1995-2004)","Frequency of internet access: daily","Percentage of individuals who used internet in the last 3 months","All Individuals","80"
"2011","European Union - 15 countries (1995-2004)","Frequency of internet access: at least once a week (but not every day)","Percentage of individuals","All Individuals","11"
