Data extracted on 02/04/2021 16:43:43 from [ESTAT];;;;;;;;;
Dataset: ;Social media use by purpose [ISOC_CISMP__custom_767933];;;;;;;;
Last updated: ;11/03/2021 11:00;;;;;;;;
;;;;;;;;;
Time frequency;;Annual;;;;;;;
Unit of measure;;Percentage of enterprises;;;;;;;
Enterprise size and Nace Rev. 2;;All enterprises, without financial sector (10 persons employed or more);;;;;;;
;;;;;;;;;
TIME;TIME;2013;;2015;;2017;;2019;
GEO (Labels);INDIC_IS (Labels);;;;;;;;
European Union - 27 countries (from 2020);Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;5;;:;;:;;:;
European Union - 27 countries (from 2020);Develop the enterprise's image or market products;21;;29;;38;;43;
European Union - 27 countries (from 2020);Obtain or respond to customer opinions, reviews questions;14;;19;;25;;28;
European Union - 27 countries (from 2020);Involve customers in development or innovation of goods or services;8;;10;;12;;14;
European Union - 27 countries (from 2020);Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);8;;9;;12;;13;
European Union - 27 countries (from 2020);Recruit employees;9;;13;;21;;27;
European Union - 27 countries (from 2020);Exchange views, opinions or knowledge within the enterprise;8;;9;;12;;14;
European Union - 27 countries (from 2020);Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);25;;33;;43;;48;
European Union - 27 countries (from 2020);Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
European Union - 27 countries (from 2020);Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;3;;:;;:;;:;
European Union - 27 countries (from 2020);Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;6;;:;;:;;:;
European Union - 27 countries (from 2020);Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;9;;:;;:;;:;
European Union - 28 countries (2013-2020);Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;6;;:;;:;;:;
European Union - 28 countries (2013-2020);Develop the enterprise's image or market products;22;;31;;40;;45;
European Union - 28 countries (2013-2020);Obtain or respond to customer opinions, reviews questions;15;;20;;27;;29;
European Union - 28 countries (2013-2020);Involve customers in development or innovation of goods or services;9;;10;;12;;14;
European Union - 28 countries (2013-2020);Collaborate with business partners (e.g. suppliers, etc.) or other organisations (e.g. public authorities, non governmental organisations, etc.);9;;10;;12;;14;
European Union - 28 countries (2013-2020);Recruit employees;9;;15;;23;;28;
European Union - 28 countries (2013-2020);Exchange views, opinions or knowledge within the enterprise;9;;10;;13;;14;
European Union - 28 countries (2013-2020);Use social media for any purpose (of sm_advert, sm_pcuqor, sm_pcudev, sm_pbpcoll, sm_prcr, sm_pexchvok);27;;35;;45;;51;
European Union - 28 countries (2013-2020);Use only one type of social medium for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;7;;:;;:;;:;
European Union - 28 countries (2013-2020);Use two or more social media for only one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;4;;:;;:;;:;
European Union - 28 countries (2013-2020);Use only one type of social medium for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;6;;:;;:;;:;
European Union - 28 countries (2013-2020);Use two or more social media for more than one purpose: interacting with customers, with business partners, recruiting or exchanging within the enterprise;10;;:;;:;;:;
European Union - 27 countries (2007-2013);Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use social media for more than one purpose;6;;:;;:;;:;
European Union - 27 countries (2007-2013);Develop the enterprise's image or market products;22;;31;;40;;:;
