Data extracted on 02/04/2021 19:00:58 from [ESTAT];;;;;;;;;;;;;;;;;
Dataset: ;Social media use by type, internet advertising [ISOC_CISMT__custom_768447];;;;;;;;;;;;;;;;
Last updated: ;11/03/2021 11:00;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;;
Unit of measure;;Percentage of enterprises;;;;;;;;;;;;;;;
Enterprise size and Nace Rev. 2;;All enterprises, without financial sector (10 persons employed or more);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
GEO (Labels);TIME;Pay to advertise on the internet;Enterprises using information about visitors' behaviour on their websites, e.g. for advertising or improving customer satisfaction;Have a website and pay to advertise on the internet;Have web sales to private consumers (B2C) and pay to advertise on the internet;Use social networks (e.g. Facebook, LinkedIn, Xing, Viadeo, Yammer, etc.) (as of 2014);Use enterprise's blog or microblogs (e.g. Twitter, Present.ly, etc.) (as of 2014);Use multimedia content sharing websites (e.g. YouTube, Flickr, Picasa, SlideShare, etc.) (as of 2014);Use wiki based knowledge sharing tools (as of 2014);Use any social media (as of 2014);Use only one type of social media (as of 2014);Use two or more social media (as of 2014);Have a Website and use any social media (as of 2014);Website has online ordering, reservation or booking and at least one of: webacc, webctm, webot or webper and use two or more social media;Have a formal policy for using social media and have used two or more social media;Do not use the above mentioned social media or use them only for posting paid adverts;Use any social media - only for posting paid adverts
European Union - 27 countries (from 2020);2013;:;:;:;:;:;:;:;:;:;:;:;:;4;4;63;0
European Union - 27 countries (from 2020);2014;25;:;23;:;31;9;12;4;34;20;14;31;:;:;:;:
European Union - 27 countries (from 2020);2015;:;:;:;:;34;9;12;5;37;22;15;34;:;:;:;:
European Union - 27 countries (from 2020);2016;24;:;23;6;40;10;14;5;42;25;17;39;:;:;:;:
European Union - 27 countries (from 2020);2017;:;:;:;:;43;10;15;5;45;27;18;42;:;:;:;:
European Union - 27 countries (from 2020);2018;25;:;24;7;:;:;:;:;:;:;:;:;:;:;:;:
European Union - 27 countries (from 2020);2019;:;18;:;:;48;10;21;6;50;27;23;46;:;:;:;:
European Union - 28 countries (2013-2020);2013;:;:;:;:;:;:;:;:;:;:;:;:;5;5;62;0
European Union - 28 countries (2013-2020);2014;25;:;23;:;33;12;12;4;36;20;14;33;:;:;:;:
European Union - 28 countries (2013-2020);2015;:;:;:;:;36;13;13;5;39;21;18;36;:;:;:;:
European Union - 28 countries (2013-2020);2016;25;:;24;7;42;14;15;5;45;24;20;41;:;:;:;:
European Union - 28 countries (2013-2020);2017;:;:;:;:;45;14;16;5;47;26;21;44;:;:;:;:
European Union - 28 countries (2013-2020);2018;26;:;25;7;:;:;:;:;:;:;:;:;:;:;:;:
European Union - 28 countries (2013-2020);2019;:;18;:;:;51;13;21;5;53;28;25;49;:;:;:;:
European Union - 27 countries (2007-2013);2013;:;:;:;:;:;:;:;:;:;:;:;:;5;5;62;0
European Union - 27 countries (2007-2013);2014;25;:;23;:;33;12;12;4;36;20;14;33;:;:;:;:
European Union - 27 countries (2007-2013);2015;:;:;:;:;36;13;13;5;39;21;18;36;:;:;:;:
European Union - 27 countries (2007-2013);2016;25;:;24;7;42;14;15;5;45;24;20;41;:;:;:;:
European Union - 27 countries (2007-2013);2017;:;:;:;:;45;14;16;5;48;26;21;44;:;:;:;:
European Union - 27 countries (2007-2013);2018;26;:;25;7;:;:;:;:;:;:;:;:;:;:;:;:
European Union - 27 countries (2007-2013);2019;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
European Union - 15 countries (1995-2004);2013;:;:;:;:;:;:;:;:;:;:;:;:;5;6;63;0
European Union - 15 countries (1995-2004);2014;23;:;22;:;36;14;14;5;39;22;16;36;:;:;:;:
European Union - 15 countries (1995-2004);2015;:;:;:;:;39;14;14;5;42;22;20;39;:;:;:;:
European Union - 15 countries (1995-2004);2016;25;:;24;7;45;16;16;5;48;25;23;45;:;:;:;:
European Union - 15 countries (1995-2004);2017;:;:;:;:;48;17;17;5;51;27;24;47;:;:;:;:
European Union - 15 countries (1995-2004);2018;27;:;26;8;:;:;:;:;:;:;:;:;:;:;:;:
European Union - 15 countries (1995-2004);2019;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);2013;:;:;:;:;:;:;:;:;:;:;:;:;5;5;65;0
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);2014;23;:;22;:;34;10;13;:;36;21;15;33;:;:;:;:
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);2015;:;:;:;:;36;10;13;5;39;22;17;36;:;:;:;:
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);2016;24;:;23;6;42;12;15;6;45;26;19;42;:;:;:;:
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);2017;:;:;:;:;45;12;16;5;47;27;20;44;:;:;:;:
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);2018;25;:;24;7;:;:;:;:;:;:;:;:;:;:;:;:
Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015);2019;:;19;:;:;50;11;22;6;52;27;25;48;:;:;:;:
Belgium;2013;:;:;:;:;:;:;:;:;:;:;:;:;5;6;62;0
Belgium;2014;23;:;22;:;:;:;:;:;:;:;:;:;:;:;:;:
Belgium;2015;:;:;:;:;42;13;15;6;45;26;19;41;:;:;:;:
Belgium;2016;24;:;23;6;51;16;16;5;53;31;22;48;:;:;:;:
Belgium;2017;:;:;:;:;57;17;17;7;58;34;24;53;:;:;:;:
Belgium;2018;30;:;28;9;:;:;:;:;:;:;:;:;:;:;:;:
Belgium;2019;:;22;:;:;70;16;30;7;71;37;34;66;:;:;:;:
Bulgaria;2013;:;:;:;:;:;:;:;:;:;:;:;:;3;3;58;0
Bulgaria;2014;25;:;21;:;26;4;6;2;28;20;7;21;:;:;:;:
Bulgaria;2015;24;:;20;:;30;4;7;3;30;22;8;22;:;:;:;:
Bulgaria;2016;19;:;17;4;31;5;7;3;32;22;9;24;:;:;:;:
Bulgaria;2017;:;:;:;:;34;4;7;3;34;25;9;26;:;:;:;:
Bulgaria;2018;21;:;19;4;:;:;:;:;:;:;:;:;:;:;:;:
Bulgaria;2019;:;13;:;:;33;4;9;2;34;24;10;27;:;:;:;:
Czechia;2013;:;:;:;:;:;:;:;:;:;:;:;:;4;3;80;0
Czechia;2014;45;:;42;:;22;:;:;:;:;:;:;:;:;:;:;:
Czechia;2015;43;:;40;:;23;4;9;3;25;15;10;25;:;:;:;:
Czechia;2016;31;:;30;11;30;6;11;5;34;22;12;33;:;:;:;:
Czechia;2017;:;:;:;:;34;7;11;4;36;23;13;35;:;:;:;:
Czechia;2018;31;:;30;10;:;:;:;:;:;:;:;:;:;:;:;:
Czechia;2019;:;:;:;:;45;9;18;5;47;27;20;44;:;:;:;:
Denmark;2013;:;:;:;:;:;:;:;:;:;:;:;:;7;7;59;0
Denmark;2014;46;:;44;:;46;9;15;6;49;30;19;47;:;:;:;:
Denmark;2015;44;:;43;:;53;10;17;4;56;36;20;54;:;:;:;:
Denmark;2016;40;:;39;10;62;13;24;5;64;37;27;62;:;:;:;:
Denmark;2017;:;:;:;:;67;12;25;5;68;39;29;67;:;:;:;:
Denmark;2018;47;:;46;12;:;:;:;:;:;:;:;:;:;:;:;:
Denmark;2019;:;20;:;:;73;11;30;5;75;42;32;73;:;:;:;:
Germany (until 1990 former territory of the FRG);2013;:;:;:;:;:;:;:;:;:;:;:;:;5;5;65;0
Germany (until 1990 former territory of the FRG);2014;20;:;20;:;31;6;11;:;33;22;11;32;:;:;:;:
Germany (until 1990 former territory of the FRG);2015;:;:;:;:;33;7;13;7;38;23;15;37;:;:;:;:
Germany (until 1990 former territory of the FRG);2016;28;:;28;8;43;7;15;8;47;30;18;45;:;:;:;:
Germany (until 1990 former territory of the FRG);2017;:;:;:;:;40;7;14;7;45;29;16;43;:;:;:;:
Germany (until 1990 former territory of the FRG);2018;27;:;26;8;:;:;:;:;:;:;:;:;:;:;:;:
Germany (until 1990 former territory of the FRG);2019;:;26;:;:;45;8;21;8;48;25;23;47;:;:;:;:
Estonia;2013;:;:;:;:;:;:;:;:;:;:;:;:;3;2;70;0
Estonia;2014;29;:;27;:;26;5;7;2;28;20;8;25;:;:;:;:
Estonia;2015;30;:;28;:;31;4;8;2;33;23;9;31;:;:;:;:
Estonia;2016;24;:;23;7;37;6;10;5;39;26;12;36;:;:;:;:
Estonia;2017;:;:;:;:;39;7;11;5;40;27;13;38;:;:;:;:
Estonia;2018;28;:;27;9;:;:;:;:;:;:;:;:;:;:;:;:
Estonia;2019;:;18;:;:;48;6;13;3;49;33;16;47;:;:;:;:
Ireland;2013;:;:;:;:;:;:;:;:;:;:;:;:;9;12;47;0
Ireland;2014;28;:;27;:;58;27;19;7;60;30;31;52;:;:;:;:
Ireland;2015;:;:;:;:;62;30;21;8;64;29;35;56;:;:;:;:
Ireland;2016;33;:;30;14;65;33;22;7;66;30;36;57;:;:;:;:
Ireland;2017;:;:;:;:;67;32;23;6;68;32;36;58;:;:;:;:
Ireland;2018;34;:;33;15;:;:;:;:;:;:;:;:;:;:;:;:
Ireland;2019;:;:;:;:;70;33;34;6;71;27;44;63;:;:;:;:
Greece;2013;:;:;:;:;:;:;:;:;:;:;:;:;5;6;53;0
Greece;2014;25;:;22;:;35;11;14;6;38;21;17;33;:;:;:;:
Greece;2015;28;:;26;:;34;11;14;6;37;18;19;32;:;:;:;:
Greece;2016;29;:;26;7;42;13;16;4;44;24;20;44;:;:;:;:
Greece;2017;:;:;:;:;49;13;15;3;50;29;21;43;:;:;:;:
Greece;2018;28;:;26;5;:;:;:;:;:;:;:;:;:;:;:;:
Greece;2019;:;18;:;:;53;11;15;4;55;:;19;43;:;:;:;:
Spain;2013;:;:;:;:;:;:;:;:;:;:;:;:;5;7;48;0
Spain;2014;31;:;29;:;34;15;15;4;37;17;20;33;:;:;:;:
Spain;2015;28;:;27;:;38;17;15;4;40;18;21;37;:;:;:;:
Spain;2016;23;:;22;6;42;19;19;4;44;20;24;41;:;:;:;:
Spain;2017;:;:;:;:;49;21;23;5;51;23;28;48;:;:;:;:
Spain;2018;25;:;23;7;:;:;:;:;:;:;:;:;:;:;:;:
Spain;2019;:;16;:;:;51;19;25;5;53;24;29;50;:;:;:;:
France;2013;:;:;:;:;:;:;:;:;:;:;:;:;3;2;80;1
France;2014;18;:;15;:;:;:;:;:;:;:;:;:;:;:;:;:
France;2015;:;:;:;:;28;9;8;4;30;19;12;27;:;:;:;:
France;2016;18;:;16;5;35;11;10;4;36;22;14;33;:;:;:;:
France;2017;:;:;:;:;39;12;11;4;41;25;16;35;:;:;:;:
France;2018;19;:;17;4;:;:;:;:;:;:;:;:;:;:;:;:
France;2019;:;16;:;:;49;12;19;4;50;28;22;45;:;:;:;:
Croatia;2013;:;:;:;:;:;:;:;:;:;:;:;:;5;4;61;0
Croatia;2014;:;:;:;:;33;7;12;8;37;22;15;34;:;:;:;:
Croatia;2015;32;:;30;:;33;8;12;7;38;23;15;34;:;:;:;:
Croatia;2016;30;:;28;8;38;7;13;6;42;27;15;37;:;:;:;:
Croatia;2017;:;:;:;:;41;7;13;7;45;28;16;39;:;:;:;:
Croatia;2018;27;:;24;5;:;:;:;:;:;:;:;:;:;:;:;:
Croatia;2019;:;22;:;:;47;7;20;9;52;29;22;43;:;:;:;:
Italy;2013;:;:;:;:;:;:;:;:;:;:;:;:;3;3;72;0
Italy;2014;:;:;:;:;29;7;10;3;32;20;12;27;:;:;:;:
Italy;2015;:;:;:;:;35;8;13;2;37;23;14;33;:;:;:;:
Italy;2016;18;:;17;4;37;8;14;2;39;24;16;35;:;:;:;:
Italy;2017;:;:;:;:;42;8;16;3;44;27;17;39;:;:;:;:
Italy;2018;21;:;19;6;:;:;:;:;:;:;:;:;:;:;:;:
Italy;2019;:;12;:;:;46;7;21;2;47;25;22;42;:;:;:;:
Cyprus;2013;:;:;:;:;:;:;:;:;:;:;:;:;5;10;55;0
